player,school,height,weight,40,10yd split,bench,3-cone,vert,broad,shuttle,hand,arm
Isaiah Adams,Illinois,6042,315,5.22,1.8,22,7.77,24.5,45510,4.71,9,33.88
Joe Alt,Notre Dame,6085,321,5.05,1.73,27,7.31,28,45539,4.51,10,34.25
Kiran Amegadjie,Yale,6050,323,—,—,24,—,—,—,—,9.63,36.13
Gottlieb Ayedze,Maryland,6041,308,5.01,1.72,21,—,26.5,45539,—,9.88,33
Karsen Barnhart,Michigan,6044,306,5.21,1.76,,7.83,29.5,45538,4.7,9.88,33.38
Graham Barton,Duke,6050,313,—,—,,—,—,—,—,9.38,32.88
Cooper Beebe,Kansas State,6032,322,5.03,1.75,20,7.44,27.5,45536,4.61,9.25,31.5
Keaton Bills,Utah,6044,321,5.38,1.9,24,7.95,29.5,45509,4.9,10,32.5
Tanor Bortolini,Wisconsin,6040,303,4.94,1.69,21,7.16,32.5,45539,4.28,10,31.5
Javion Cohen,Miami,6040,324,—,—,22,—,26.5,45512,—,9.88,34
Andrew Coker,TCU,6067,315,5.36,1.85,,7.95,25.5,45483,4.93,9.5,34
Brandon Coleman,TCU,6044,313,4.99,1.73,,—,34,45541,—,10.75,34.63
Frank Crum,Wyoming,6082,313,4.94,1.69,22,7.39,31.5,45541,4.73,10.5,33.88
Anim Dankwah,Howard,6080,353,—,—,24,—,27.5,—,—,9.75,35.13
Ethan Driskell,Marshall,6080,313,—,—,,—,—,—,—,10.5,35.38
Kingsley Eguakun,Florida,6034,304,—,—,26,—,—,—,—,10.13,32.5
Josiah Ezirim,Eastern Kentucky,6060,329,—,—,28,—,—,—,—,10.75,35.75
Olumuyiwa Fashanu,Penn State,6060,312,5.11,1.77,,—,32,45536,—,8.5,34
Troy Fautanu,Washington,6036,317,5.01,1.71,,—,32.5,45540,—,9.5,34.5
Blake Fisher,Notre Dame,6060,310,5.2,1.82,,7.76,28,—,4.73,10,34.38
Jeremy Flax,Kentucky,6054,343,5.64,1.96,,—,28,45508,—,9,33.13
Javon Foster,Missouri,6054,313,5.3,1.79,,—,32.5,45514,—,9.63,34.63
Zach Frazier,West Virginia,6030,313,—,—,30,—,—,—,—,10.88,32.25
Taliese Fuaga,Oregon State,6060,324,5.13,1.77,,—,32,45538,—,10.13,33.13
X'Zauvea Gadlin,Liberty,6030,322,5.5,1.9,25,8.26,24,36739,4.97,10.25,33.25
Nicholas Gargiulo,South Carolina,6053,318,5.25,1.78,28,7.33,32.5,45509,—,10.38,33.88
Delmar Glaze,Maryland,6041,315,5.21,1.78,29,—,25.5,45512,—,10.25,34.88
Matthew Goncalves,Pittsburgh,6060,327,—,—,,—,—,—,—,9,33.25
Tylan Grable,UCF,6056,306,4.95,1.69,,—,36.5,45544,—,10.13,33.63
Garret Greenfield,South Dakota State,6056,311,5.22,1.77,,7.76,38.5,45540,4.85,9.75,33.5
Tyler Guyton,Oklahoma,6076,322,5.19,1.76,,7.5,34.5,45515,4.71,10.25,34.13
C.J. Hanson,Holy Cross,6050,300,5,1.76,,—,33,45542,—,9.38,32.38
Christian Haynes,Connecticut,6030,317,5.03,1.75,25,—,—,45510,—,9,33.5
LaDarius Henderson,Michigan,6040,309,—,—,20,—,—,—,—,10.63,35
Christian Jones,Texas,6050,305,5.04,1.78,20,8.09,—,—,4.78,10.63,34.5
Matthew Jones,Ohio State,6034,316,5.21,1.87,,8.19,28,45511,—,9,32.63
Trente Jones,Michigan,6040,305,5.17,1.79,,7.78,27,45536,4.87,10.13,33
Trevor Keegan,Michigan,6050,310,5.24,1.78,,—,30.5,45515,—,10,32.38
