athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,general_fumbles_forced,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_sack_yards
169499,Ryan,Johnson,Ryan Johnson,Ryan Johnson,255,74,DL,0,0,3,4,0
245322,Marcus,Patterson,Marcus Patterson,Marcus Patterson,272,75,DE,1,0,3,6,0
4039259,Dante,Cleveland,Dante Cleveland,Dante Cleveland,298,76,DT,0,3.5,12,25,28
4239389,Taijh,Alston,Taijh Alston,Taijh Alston,255,76,DE,0,2.5,14,23,15
4241241,Cordarrius,Bailey,Cordarrius Bailey,Cordarrius Bailey,243,75,DL,0,3,18,30,23
4242498,Popo,Aumavae,Popo Aumavae,Popo Aumavae,315,75,DT,0,3,9,18,27
4243195,Jalen,Sami,Jalen Sami,Jalen Sami,330,79,DL,0,0.5,3,15,9
4243265,Aliki,Vimahi,Aliki Vimahi,Aliki Vimahi,310,76,DT,0,1.5,5,13,8
4245134,Andrew,Cole,Andrew Cole,Andrew Cole,320,76,DL,0,0,3,12,0
4248644,Karfa,Kaba,Karfa Kaba,Karfa Kaba,290,74,DL,1,1.5,7,18,4
4248713,Matt,Sochovka,Matt Sochovka,Matt Sochovka,296,76,DT,0,2,7,21,12
4249608,Isaac,Ukwu,Isaac Ukwu,Isaac Ukwu,260,75,DE,0,3.5,17,27,20
4258326,Jordan,Strachan,Jordan Strachan,Jordan Strachan,243,77,DE,2,4,15,20,16
4259368,JB,Brown,JB Brown,JB Brown,280,73,DL,0,2.5,9,37,15
4259652,Jacob,Lichtenstein,Jacob Lichtenstein,Jacob Lichtenstein,270,77,DL,0,1,3,5,7
4274041,Robi,Stuart,Robi Stuart,Robi Stuart,300,75,DL,0,1.5,3,9,8
4360059,Malik,Vann,Malik Vann,Malik Vann,268,75,DE,0,1.5,6,13,16
4360127,Stephon,Wynn Jr.,Stephon Wynn Jr.,Stephon Wynn Jr.,310,76,DT,0,0.5,3,9,3
4360167,Isaiah,Nichols,Isaiah Nichols,Isaiah Nichols,300,75,DL,0,1,14,20,7
4360240,Malik,Langham,Malik Langham,Malik Langham,310,76,DL,0,1,12,20,1
4360267,Jordan,Kelley,Jordan Kelley,Jordan Kelley,302,76,DL,0,1,7,14,11
4360304,Xavier,Thomas,Xavier Thomas,Xavier Thomas,245,74,DE,0,2,15,24,9
4360311,Justin,Mascoll,Justin Mascoll,Justin Mascoll,260,76,DE,1,1,12,19,3
4360463,Jermayne,Lole,Jermayne Lole,Jermayne Lole,310,75,DL,1,1.5,5,16,7
4360464,Michael,Matus,Michael Matus,Michael Matus,260,74,DE,0,0.5,3,5,4
4360491,Joe,Evans,Joe Evans,Joe Evans,252,74,DE,0,5.5,23,42,27
4360547,Darren,Brown,Darren Brown,Darren Brown,323,75,DT,1,1,6,20,10
