athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,passing_completions,passing_completion_pct,passing_interceptions,passing_interception_pct,passing_net_passing_yards_per_game,passing_passing_attempts,passing_passing_touchdowns,passing_passing_touchdown_pct,passing_passing_yards,passing_sacks,passing_yards_per_pass_attempt
102597,Will,Rogers,Will Rogers,Will Rogers,215,74,QB,142,59.91600036621094,4,1.687999963760376,203.25,237,12,5.063000202178955,1626,14,6.861000061035156
4240094,Micah,Leon,Micah Leon,Micah Leon,220,77,QB,2,66.66699981689453,0,0,16,3,0,0,16,0,5.333000183105469
4240351,Tyler,Vander Waal,Tyler Vander Waal,Tyler Vander Waal,220,76,QB,55,50.92599868774414,6,5.556000232696533,111,108,3,2.7780001163482666,555,13,5.138999938964844
4241937,Kasim,Hill,Kasim Hill,Kasim Hill,234,74,QB,221,59.249000549316406,10,2.680999994277954,279.4545593261719,373,18,4.826000213623047,3074,21,8.241000175476074
4241965,Rocky,Lombardi,Rocky Lombardi,Rocky Lombardi,223,75,QB,171,57.382999420166016,5,1.6779999732971191,172.8333282470703,298,10,3.3559999465942383,2074,15,6.960000038146973
4245186,Frank,Harris,Frank Harris,Frank Harris,205,72,QB,218,64.88099670410156,8,2.38100004196167,250.60000610351562,336,18,5.35699987411499,2506,16,7.458000183105469
4248558,Jason,Brown,Jason Brown,Jason Brown,230,74,QB,135,63.08399963378906,3,1.4019999504089355,174.875,214,8,3.73799991607666,1399,14,6.5370001792907715
4249638,Zion,Webb,Zion Webb,Zion Webb,200,74,QB,97,50,6,3.0929999351501465,116.45454406738281,194,5,2.5769999027252197,1281,9,6.603000164031982
4250679,Dom,Shoffner,Dom Shoffner,Dom Shoffner,201,73,QB,4,44.444000244140625,1,11.111000061035156,12.333333015441895,9,0,0,37,0,4.111000061035156
4360056,Ben,Bryant,Ben Bryant,Ben Bryant,220,75,QB,150,61.72800064086914,6,2.4690001010894775,198.125,243,11,4.5269999504089355,1585,23,6.5229997634887695
4360230,Emory,Jones,Emory Jones,Emory Jones,212,75,QB,197,61.18000030517578,10,3.1059999465942383,184.9166717529297,322,18,5.590000152587891,2219,25,6.890999794006348
4360271,Tanner,Mordecai,Tanner Mordecai,Tanner Mordecai,218,74,QB,177,64.5989990234375,4,1.4600000381469727,187.44444274902344,274,6,2.190000057220459,1687,12,6.1570000648498535
4360423,Michael,Penix Jr.,Michael Penix Jr.,Michael Penix Jr.,213,75,QB,307,65.87999725341797,9,1.930999994277954,324.4615478515625,466,33,7.081999778747559,4218,10,9.052000045776367
4360650,Blake,Stenstrom,Blake Stenstrom,Blake Stenstrom,225,76,QB,210,59.4900016784668,5,1.4160000085830688,224.3000030517578,353,13,3.683000087738037,2243,26,6.354000091552734
4360689,Tyler,Shough,Tyler Shough,Tyler Shough,230,77,QB,67,60.36000061035156,4,3.6040000915527344,186.5,111,7,6.306000232696533,746,9,6.7210001945495605
4360698,Joe,Milton III,Joe Milton III,Joe Milton III,235,77,QB,229,64.68900299072266,5,1.4119999408721924,234.4166717529297,354,20,5.650000095367432,2813,16,7.946000099182129
4360799,Jordan,Travis,Jordan Travis,Jordan Travis,212,73,QB,207,63.888999938964844,2,0.6169999837875366,250.5454559326172,324,20,6.172999858856201,2756,14,8.505999565124512
4360846,Theo,Day,Theo Day,Theo Day,231,77,QB,204,60.7140007019043,15,4.464000225067139,258.18182373046875,336,16,4.76200008392334,2840,30,8.45199966430664
4360890,Jordan,McCloud,Jordan McCloud,Jordan McCloud,199,72,QB,261,68.86499786376953,9,2.375,283.3333435058594,379,32,8.442999839782715,3400,19,8.970999717712402
4360900,Jason,Bean,Jason Bean,Jason Bean,195,75,QB,105,61.40399932861328,4,2.3389999866485596,186.77777099609375,171,12,7.01800012588501,1681,5,9.829999923706055
4360936,Zack,Annexstad,Zack Annexstad,Zack Annexstad,220,75,QB,221,69.71600341796875,5,1.5770000219345093,234.55555725097656,317,17,5.36299991607666,2111,7,6.658999919891357
4361025,Jack,Tuttle,Jack Tuttle,Jack Tuttle,210,76,QB,15,88.23500061035156,0,0,26,17,1,5.881999969482422,130,0,7.646999835968018
4361091,Jacob,Sirmon,Jacob Sirmon,Jacob Sirmon,230,77,QB,133,56.35599899291992,9,3.813999891281128,156.875,236,8,3.390000104904175,1255,18,5.317999839782715
4361222,Layne,Hatcher,Layne Hatcher,Layne Hatcher,210,72,QB,64,65.305999755859375,1,1.0199999809265137,97,98,4,4.081999778747559,582,11,5.939000129699707
4361493,Jack,Plummer,Jack Plummer,Jack Plummer,215,77,QB,235,63.513999938964844,12,3.243000030517578,235.61538696289062,370,21,5.676000118255615,3063,29,8.2779998779296875
4361497,Carson,Baker,Carson Baker,Carson Baker,205,75,QB,21,46.66699981689453,1,2.2219998836517334,45.599998474121094,45,0,0,228,13,5.066999912261963
4361607,Andrew,Peasley,Andrew Peasley,Andrew Peasley,218,74,QB,146,60.58100128173828,5,2.075000047683716,165.72727966308594,241,20,8.298999786376953,1823,23,7.564000129699707
4361636,John,Paddock,John Paddock,John Paddock,190,72,QB,85,59.441001892089844,3,2.0980000495910645,213,143,9,6.294000148773193,1278,6,8.937000274658203
4361653,Devin,Leary,Devin Leary,Devin Leary,217,73,QB,193,56.268001556396484,10,2.9149999618530273,203.3333282470703,343,23,6.705999851226807,2440,20,7.113999843597412
4361690,Sean,Chambers,Sean Chambers,Sean Chambers,228,75,QB,50,54.94499969482422,2,2.197999954223633,73.91666412353516,91,9,9.890000343322754,887,6,9.746999740600586
4361735,Re-al,Mitchell,Re-al Mitchell,Re-al Mitchell,210,72,QB,3,60,0,0,2.75,5,0,0,22,0,4.400000095367432
4361825,Spencer,Sanders,Spencer Sanders,Spencer Sanders,210,73,QB,19,65.516998291015625,0,0,39.71428680419922,29,3,10.345000267028809,278,0,9.586000442504883
4361959,Quincy,Patterson,Quincy Patterson,Quincy Patterson,235,75,QB,20,41.66699981689453,3,6.25,26.285715103149414,48,0,0,184,7,3.8329999446868896
4361994,Sam,Hartman,Sam Hartman,Sam Hartman,210,73,QB,191,63.45500183105469,8,2.6579999923706055,224.0833282470703,301,24,7.9730000495910645,2689,14,8.934000015258789
4362073,Casey,Thompson,Casey Thompson,Casey Thompson,200,73,QB,50,63.29100036621094,5,6.328999996185303,169.6666717529297,79,5,6.328999996185303,509,3,6.442999839782715
4362140,Steven,Krajewski,Steven Krajewski,Steven Krajewski,215,76,QB,139,54.08599853515625,7,2.7239999771118164,145.5454559326172,257,14,5.447000026702881,1601,20,6.230000019073486
4362159,Alan,Bowman,Alan Bowman,Alan Bowman,209,76,QB,270,59.73500061035156,12,2.6549999713897705,235.23077392578125,452,13,2.875999927520752,3058,7,6.764999866485596
4362211,Trey,Lowe,Trey Lowe,Trey Lowe,215,74,QB,0,0,0,0,0,3,0,0,0,0,0
4362260,Carter,Bradley,Carter Bradley,Carter Bradley,216,75,QB,221,67.79100036621094,7,2.1470000743865967,241.81817626953125,326,19,5.828000068664551,2660,27,8.15999984741211
4362365,Davis,Brin,Davis Brin,Davis Brin,210,74,QB,330,64.70600128173828,16,3.13700008392334,285.9166564941406,510,22,4.314000129699707,3431,26,6.7270002365112305
4362723,Gunnar,Watson,Gunnar Watson,Gunnar Watson,210,75,QB,247,61.290000915527344,5,1.2410000562667847,256.8461608886719,403,27,6.699999809265137,3339,22,8.28499984741211
4362894,Jalen,Mayden,Jalen Mayden,Jalen Mayden,220,75,QB,199,63.375999450683594,9,2.865999937057495,169.25,314,10,3.184999942779541,2031,21,6.4679999351501465
4363410,Dylan,Hopkins,Dylan Hopkins,Dylan Hopkins,225,74,QB,157,55.67399978637695,9,3.190999984741211,188.5454559326172,282,11,3.9010000228881836,2074,15,7.355000019073486
4363640,Jeremy,Moussa,Jeremy Moussa,Jeremy Moussa,225,75,QB,195,57.69200134277344,7,2.071000099182129,236.72727966308594,338,19,5.620999813079834,2604,13,7.703999996185303
4365325,Colby,Suits,Colby Suits,Colby Suits,240,76,QB,158,56.02799987792969,10,3.5460000038146973,191.89999389648438,282,13,4.610000133514404,1919,16,6.804999828338623
4366190,Kylan,Weisser,Kylan Weisser,Kylan Weisser,220,75,QB,81,52.59700012207031,7,4.545000076293945,130.3333282470703,154,2,1.2990000247955322,782,12,5.078000068664551
4366715,Jeff,Undercuffler Jr.,Jeff Undercuffler Jr.,Jeff Undercuffler Jr.,240,77,QB,138,61.606998443603516,9,4.01800012588501,137.8000030517578,224,4,1.7860000133514404,1378,21,6.1519999504089355
4367591,Marquez,McCray,Marquez McCray,Marquez McCray,225,74,QB,212,64.832000732421875,6,1.8350000381469727,236.5454559326172,327,21,6.421999931335449,2602,33,7.956999778747559
4368343,Austin,Reed,Austin Reed,Austin Reed,220,74,QB,289,61.48899841308594,11,2.3399999141693115,278.3333435058594,470,31,6.5960001945495605,3340,7,7.105999946594238
4368348,Nic,Baker,Nic Baker,Nic Baker,202,69,QB,234,65.180999755859375,7,1.9500000476837158,210.84616088867188,359,17,4.735000133514404,2741,41,7.635000228881836
4368398,Mitch,Davidson,Mitch Davidson,Mitch Davidson,220,76,QB,256,69.56500244140625,6,1.6299999952316284,237.53846740722656,368,24,6.521999835968018,3088,17,8.390999794006348
4368767,Parker,McKinney,Parker McKinney,Parker McKinney,208,75,QB,265,63.24599838256836,12,2.864000082015991,275.7272644042969,419,20,4.7729997634887695,3033,14,7.238999843597412
