athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,defensive_passes_defended,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_interceptions_interceptions
191729,Michael,Williams,Michael Williams,Michael Williams,190,72,DB,0,0,2,2,0
479316,Jonathan,Jones,Jonathan Jones,Jonathan Jones,195,72,DB,2,0,2,6,0
484904,Caleb,Nelson,Caleb Nelson,Caleb Nelson,192,73,CB,9,0,17,26,1
484904,Caleb,Nelson,Caleb Nelson,Caleb Nelson,192,73,CB,9,0,17,26,1
545273,Isaiah,Johnson,Isaiah Johnson,Isaiah Johnson,205,75,S,5,0,38,59,1
2094390,Michael,Dansby,Michael Dansby,Michael Dansby,175,71,DB,3,0,10,15,1
4040630,Jahsen,Wint,Jahsen Wint,Jahsen Wint,200,72,S,0,0,3,12,0
4240235,Zachary,Ford,Zachary Ford,Zachary Ford,200,75,S,4,0,29,56,0
4240478,Devin,Smith,Devin Smith,Devin Smith,179,70,CB,9,0,38,50,0
4240478,Devin,Smith,Devin Smith,Devin Smith,179,70,CB,9,0,38,50,0
4240903,Myles,Jones,Myles Jones,Myles Jones,194,76,CB,2,0,4,7,2
4241300,Takulve,Williams,Takulve Williams,Takulve Williams,211,72,DB,1,0,23,39,1
4241833,John,Davis,John Davis,John Davis,187,72,CB,3,0,10,15,1
4242159,Korey,Hernandez,Korey Hernandez,Korey Hernandez,193,70,DB,1,0,6,9,0
4242159,Korey,Hernandez,Korey Hernandez,Korey Hernandez,193,70,DB,1,0,6,9,0
4248354,Jamond,DuBose,Jamond DuBose,Jamond DuBose,185,69,DB,2,0,23,34,1
4248871,Jabari,Reddock,Jabari Reddock,Jabari Reddock,195,71,DB,0,0,7,10,0
4249654,Jeremiah,Harris,Jeremiah Harris,Jeremiah Harris,195,70,S,3,0,35,58,2
4250510,Andre',Sam,Andre' Sam,Andre' Sam,190,72,S,2,0,41,75,3
4251053,Jaylen,Evans,Jaylen Evans,Jaylen Evans,200,73,DB,1,0,9,14,0
4251117,Eddie,Heckard,Eddie Heckard,Eddie Heckard,190,70,CB,6,1,27,47,5
4255995,TraJon,Cotton,TraJon Cotton,TraJon Cotton,204,73,S,0,0.5,10,27,2
4259175,Bryson,Jackson,Bryson Jackson,Bryson Jackson,209,74,S,2,1,21,24,0
4259175,Bryson,Jackson,Bryson Jackson,Bryson Jackson,209,74,S,2,1,21,24,0
4259809,Londyn,Craft,Londyn Craft,Londyn Craft,205,73,DB,0,0,11,22,0
4260444,Roman,Kafentzis,Roman Kafentzis,Roman Kafentzis,215,73,DB,0,0,4,6,0
4260634,Darion,McKenzie,Darion McKenzie,Darion McKenzie,200,74,DB,3,0,7,8,3
4262878,Marquis,Britten,Marquis Britten,Marquis Britten,185,71,DB,1,0,7,16,0
4360085,Taj,Ward,Taj Ward,Taj Ward,195,72,DB,2,0.5,32,55,0
4360134,Nolan,Johnson,Nolan Johnson,Nolan Johnson,200,74,CB,6,0,18,34,1
4360154,Damel,Hickman,Damel Hickman,Damel Hickman,185,72,DB,7,0,32,36,1
4360162,Jireh,Wilson,Jireh Wilson,Jireh Wilson,219,75,DB,2,0,26,41,0
4360165,Simeon,Blair,Simeon Blair,Simeon Blair,208,70,DB,4,0,41,61,2
4360203,Elijah,Jones,Elijah Jones,Elijah Jones,184,74,CB,9,0,18,25,5
4360213,Jason,Maitre,Jason Maitre,Jason Maitre,188,70,CB,3,0,24,33,1
4360236,Iverson,Clement,Iverson Clement,Iverson Clement,190,72,CB,7,0,28,43,0
4360237,John,Huggins,John Huggins,John Huggins,205,73,S,0,0,18,27,2
4360237,John,Huggins,John Huggins,John Huggins,205,73,S,0,0,18,27,2
4360330,Davon,Ferguson,Davon Ferguson,Davon Ferguson,185,70,CB,6,2.5,30,47,2
4360380,Dylan,Wyatt,Dylan Wyatt,Dylan Wyatt,190,73,CB,2,0,4,4,0
4360381,Ron,Hardge III,Ron Hardge III,Ron Hardge III,185,72,DB,2,0,6,12,0
4360409,Nate,Thompson,Nate Thompson,Nate Thompson,215,74,DB,1,1,18,38,0
4360412,Jeremiah,Lewis,Jeremiah Lewis,Jeremiah Lewis,197,71,S,4,0,23,50,1
4360451,Ely,Doyle,Ely Doyle,Ely Doyle,195,73,DB,1,0,13,22,0
4360475,Chigozie,Anusiem,Chigozie Anusiem,Chigozie Anusiem,200,73,CB,2,0,35,57,1
4360490,Dallas,Craddieth,Dallas Craddieth,Dallas Craddieth,207,71,DB,0,0,5,8,0
4360497,DJ,Johnson,DJ Johnson,DJ Johnson,171,72,CB,9,1,25,46,3
4360497,DJ,Johnson,DJ Johnson,DJ Johnson,171,72,CB,9,1,25,46,3
4360584,Jaylon,King,Jaylon King,Jaylon King,193,73,DB,8,0,35,63,4
4360591,Zamari,Walton,Zamari Walton,Zamari Walton,185,75,CB,5,0,21,36,2
4360605,Armani-Eli,Adams,Armani-Eli Adams,Armani-Eli Adams,193,71,S,0,0,1,3,0
4360628,Kaelen,Skipper,Kaelen Skipper,Kaelen Skipper,184,69,S,1,0,7,13,0
4360632,Teja,Young,Teja Young,Teja Young,195,71,S,2,0,6,12,0
4360632,Teja,Young,Teja Young,Teja Young,195,71,S,2,0,6,12,0
4360688,Steve,Stephens IV,Steve Stephens IV,Steve Stephens IV,205,72,DB,2,0,31,53,1
4360699,Myles,Sims,Myles Sims,Myles Sims,190,75,CB,4,0,19,35,1
4360768,Kaleb,Dawson,Kaleb Dawson,Kaleb Dawson,200,71,S,4,0,26,50,3
4360808,Telly,Plummer,Telly Plummer,Telly Plummer,195,73,DB,2,0,26,32,0
4360826,Teldrick,Ross,Teldrick Ross,Teldrick Ross,194,71,CB,5,0,43,48,0
4360848,Kalon,Gervin,Kalon Gervin,Kalon Gervin,195,71,CB,4,0,8,11,0
4360854,Chase,Williams,Chase Williams,Chase Williams,199,73,DB,2,0,25,45,1
4360977,DaeSean,Winston,DaeSean Winston,DaeSean Winston,200,73,DB,1,0,5,5,0
4360982,Elijah,Clark,Elijah Clark,Elijah Clark,195,75,CB,0,0,2,8,0
4360983,Chauncey,Moore,Chauncey Moore,Chauncey Moore,208,71,S,1,0,7,13,1
4361035,Jordan,Morris,Jordan Morris,Jordan Morris,180,73,DB,0,0,12,14,1
4361094,Dominique,Hampton,Dominique Hampton,Dominique Hampton,220,75,S,5,0,54,92,2
4361165,Braxton,Clark,Braxton Clark,Braxton Clark,204,76,CB,5,0,23,26,1
4361194,Isaiah,Stalbird,Isaiah Stalbird,Isaiah Stalbird,200,73,LB,3,1.5,42,69,1
4361261,A.J.,Hampton Jr.,A.J. Hampton Jr.,A.J. Hampton Jr.,175,72,DB,3,0,20,21,0
4361283,Malcolm,Magee,Malcolm Magee,Malcolm Magee,190,72,DB,1,0,11,12,2
4361285,Tywan,Francis,Tywan Francis,Tywan Francis,195,71,S,5,0,58,78,2
4361344,Josh,Proctor,Josh Proctor,Josh Proctor,205,74,S,8,0,29,41,1
4361352,Marcus,Hooker,Marcus Hooker,Marcus Hooker,200,71,DB,4,0,36,47,1
4361386,Deonta,Bembry,Deonta Bembry,Deonta Bembry,175,69,DB,9,0,21,30,1
4361431,Jaden,Dedman,Jaden Dedman,Jaden Dedman,175,70,DB,4,1,24,33,0
