athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,general_fumbles_forced,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_passes_defended
560145,Mike,Newman,Mike Newman,Mike Newman,217,74,LB,0,0.5,13,21,0
4035248,Keeath,Magee,Keeath Magee,Keeath Magee,240,72,LB,0,0,0,2,0
4046654,Keenan,Pili,Keenan Pili,Keenan Pili,240,75,LB,0,0,2,4,0
4240663,Malik,Robinson,Malik Robinson,Malik Robinson,230,72,LB,0,0,38,81,1
4241338,Daniel,Green,Daniel Green,Daniel Green,245,75,LB,0,1,10,13,0
4243914,Monty,Montgomery,Monty Montgomery,Monty Montgomery,225,70,LB,0,0,9,21,0
4244039,Jerry,Roberts Jr.,Jerry Roberts Jr.,Jerry Roberts Jr.,240,73,LB,0,0,15,38,1
4247983,Nate,Norris,Nate Norris,Nate Norris,225,73,LB,0,1,33,61,1
4248348,Trey,Adams,Trey Adams,Trey Adams,200,70,S,0,0,2,3,1
4249738,Qua'Shawn,Washington,Qua'Shawn Washington,Qua'Shawn Washington,230,71,LB,0,0,38,56,2
4249753,Jonathan,Joanis,Jonathan Joanis,Jonathan Joanis,225,73,LB,0,1,18,33,1
4250395,Markel,Perry,Markel Perry,Markel Perry,230,74,LB,0,1.5,21,35,0
4250817,James,Green,James Green,James Green,220,73,LB,0,0,20,44,1
4251125,Winston,Reid,Winston Reid,Winston Reid,230,73,LB,1,1.5,63,113,5
4256059,Chaz,Ah You,Chaz Ah You,Chaz Ah You,220,74,LB,0,0,2,4,0
4259682,Jared,Small,Jared Small,Jared Small,220,72,LB,0,2,34,51,2
4360209,Joe,Sparacio,Joe Sparacio,Joe Sparacio,220,71,LB,3,2.5,58,134,3
4360219,Hugh,Davis,Hugh Davis,Hugh Davis,227,72,LB,0,0,13,18,0
4360220,Vinny,DePalma,Vinny DePalma,Vinny DePalma,232,71,LB,0,0.5,39,87,1
4360221,Evan,Stewart,Evan Stewart,Evan Stewart,225,72,LB,1,0.5,34,64,2
4360250,Andrew,Chatfield Jr.,Andrew Chatfield Jr.,Andrew Chatfield Jr.,254,74,LB,1,9,17,27,2
4360303,David,Reese,David Reese,David Reese,240,74,LB,3,6.5,17,29,3
4360387,Ezekiel,Holmes,Ezekiel Holmes,Ezekiel Holmes,255,77,LB,0,0,6,9,0
4360390,Jacob,Hollins,Jacob Hollins,Jacob Hollins,220,73,LB,0,2,28,56,1
4360390,Jacob,Hollins,Jacob Hollins,Jacob Hollins,220,73,LB,0,2,28,56,1
4360469,Amari,Gainer,Amari Gainer,Amari Gainer,235,76,LB,0,2.5,14,24,2
4360501,Jayden,McDonald,Jayden McDonald,Jayden McDonald,227,72,LB,1,1,40,75,1
4360577,Jordan,Domineck,Jordan Domineck,Jordan Domineck,250,75,LB,0,5,31,51,2
4360577,Jordan,Domineck,Jordan Domineck,Jordan Domineck,250,75,LB,0,5,31,51,2
4360648,Hasaan,Hypolite,Hasaan Hypolite,Hasaan Hypolite,215,71,LB,0,0,21,33,0
4360702,Taylor,Upshaw,Taylor Upshaw,Taylor Upshaw,270,77,LB,1,8.5,17,30,1
4360740,Jacob,Mangum-Farrar,Jacob Mangum-Farrar,Jacob Mangum-Farrar,240,76,LB,0,0,33,62,4
4360811,Ori,Jean-Charles,Ori Jean-Charles,Ori Jean-Charles,230,73,LB,1,3,46,92,1
4360858,Raymond,Scott,Raymond Scott,Raymond Scott,242,73,LB,0,0,10,22,1
4360862,Brian,Norris,Brian Norris,Brian Norris,230,74,LB,0,0,4,7,0
4360864,Antonio,Grier,Antonio Grier,Antonio Grier,230,73,LB,0,0,14,36,0
4360922,Larry,Nixon III,Larry Nixon III,Larry Nixon III,231,73,LB,0,0,28,48,0
4360940,Braelen,Oliver,Braelen Oliver,Braelen Oliver,217,72,LB,0,0,10,29,1
4360975,Layton,Jordan,Layton Jordan,Layton Jordan,220,74,LB,0,2.5,14,24,0
4361017,Andrew,Mata'afa,Andrew Mata'afa,Andrew Mata'afa,225,75,LB,0,0.5,10,21,0
4361041,Cincir,Evans,Cincir Evans,Cincir Evans,240,76,LB,0,1,22,35,1
4361070,DJ,Schramm,DJ Schramm,DJ Schramm,230,72,LB,0,1,20,42,0
4361070,DJ,Schramm,DJ Schramm,DJ Schramm,230,72,LB,0,1,20,42,0
4361101,Jackson,Sirmon,Jackson Sirmon,Jackson Sirmon,240,74,LB,1,1,27,47,1
4361104,MJ,Tafisi Jr.,MJ Tafisi Jr.,MJ Tafisi Jr.,250,72,LB,2,0,50,131,1
4361295,Jacob,Stanton,Jacob Stanton,Jacob Stanton,235,73,LB,0,1,29,70,3
4361339,Teradja,Mitchell,Teradja Mitchell,Teradja Mitchell,245,74,LB,0,0,13,23,0
4361348,Dallas,Gant,Dallas Gant,Dallas Gant,230,75,LB,1,1,46,108,2
4361384,Jon,Ferguson,Jon Ferguson,Jon Ferguson,235,73,LB,0,0,6,7,0
4361441,Jack,Powers,Jack Powers,Jack Powers,237,74,LB,0,0,7,15,2
4361448,Daniel,Grzesiak,Daniel Grzesiak,Daniel Grzesiak,250,73,LB,1,3.5,22,46,3
4361480,Devin,Richardson,Devin Richardson,Devin Richardson,232,75,LB,1,1,31,62,0
4361652,Payton,Wilson,Payton Wilson,Payton Wilson,238,76,LB,1,6,69,138,6
4361663,Calvin,Hart Jr.,Calvin Hart Jr.,Calvin Hart Jr.,226,72,LB,1,3.5,25,61,0
4361699,Chuck,Hicks,Chuck Hicks,Chuck Hicks,230,73,LB,1,2,26,49,1
4361751,Gerry,Vaughn,Gerry Vaughn,Gerry Vaughn,235,71,LB,0,0,18,44,0
4361821,Carlos,Hatcher,Carlos Hatcher,Carlos Hatcher,245,75,LB,1,2,5,9,1
4361845,Carson,Kropp,Carson Kropp,Carson Kropp,230,73,LB,0,0.5,21,37,0
4361845,Carson,Kropp,Carson Kropp,Carson Kropp,230,73,LB,0,0.5,21,37,0
4361907,Jontrey,Hunter,Jontrey Hunter,Jontrey Hunter,240,74,LB,3,1.5,50,94,4
4361970,Alan,Tisdale,Alan Tisdale,Alan Tisdale,232,75,LB,0,1.5,28,68,2
4361970,Alan,Tisdale,Alan Tisdale,Alan Tisdale,232,75,LB,0,1.5,28,68,2
4362095,Byron,Vaughns,Byron Vaughns,Byron Vaughns,238,76,LB,1,3,22,30,1
4362171,Xavier,Benson,Xavier Benson,Xavier Benson,224,74,LB,1,1.5,34,60,1
4362237,Ryan,Selig,Ryan Selig,Ryan Selig,240,75,LB,0,0,15,31,1
4362272,Daniel,Bolden,Daniel Bolden,Daniel Bolden,248,73,LB,1,0.5,36,85,2
4362298,Terrance,Taylor,Terrance Taylor,Terrance Taylor,228,75,LB,1,3.5,15,35,0
4362315,Bryce,Houston,Bryce Houston,Bryce Houston,246,72,LB,1,2.5,55,120,1
4362317,Keye,Thompson,Keye Thompson,Keye Thompson,239,73,LB,1,1.5,42,94,2
4362398,Eriq,Gilyard,Eriq Gilyard,Eriq Gilyard,229,70,LB,0,0,3,4,0
4362760,Chad,Bailey,Chad Bailey,Chad Bailey,234,72,LB,1,1,7,17,1
