athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,punting_gross_avg_punt_yards,punting_long_punt,punting_net_avg_punt_yards,punting_punts,punting_punts_inside20,punting_punts_inside20pct,punting_punt_yards,punting_touchbacks,punting_touchback_pct
484303,Patrick,Ryan,Patrick Ryan,Patrick Ryan,225,74,P,36.400001525878906,60,36.400001525878906,40,13,32.5,1456,4,10
4036672,Alex,Smith,Alex Smith,Alex Smith,215,78,P,39.95600128173828,58,36.400001525878906,45,18,40,1798,4,8.888999938964844
4362078,Ryan,Bujcevski,Ryan Bujcevski,Ryan Bujcevski,177,72,P,45.5,56,39.861000061035156,36,8,22.222000122070312,1638,3,8.333000183105469
4362213,Evan,Matthes,Evan Matthes,Evan Matthes,215,75,P,43.18000030517578,70,43.18000030517578,50,21,42,2159,5,10
4362395,Andrew,Osteen,Andrew Osteen,Andrew Osteen,200,73,P,35.111000061035156,40,35.111000061035156,9,5,55.555999755859375,316,0,0
4362682,Clayton,Stewart,Clayton Stewart,Clayton Stewart,215,73,P,42.77199935913086,72,38.89500045776367,57,16,28.06999969482422,2438,6,10.526000022888184
4368017,George,Triplett,George Triplett,George Triplett,190,70,P,43.20500183105469,61,43.20500183105469,39,11,28.204999923706055,1685,5,12.821000099182129
4368399,Grant,Gonya,Grant Gonya,Grant Gonya,212,74,P,44.5,67,37.382999420166016,60,18,30,2670,9,15
4370942,Caleb,Darbone,Caleb Darbone,Caleb Darbone,205,74,PK,37.125,56,37.125,32,7,21.875,1188,5,15.625
4371991,Reid,Bauer,Reid Bauer,Reid Bauer,206,71,P,43.233001708984375,65,39.72100067138672,43,16,37.20899963378906,1859,5,11.628000259399414
4372072,George,Caratan,George Caratan,George Caratan,212,73,P,45.1150016784668,69,39.262001037597656,61,20,32.7869987487793,2752,6,9.836000442504883
4372185,Casey,Glover,Casey Glover,Casey Glover,200,77,P,41.20000076293945,49,40.599998474121094,5,0,0,206,0,0
4372185,Casey,Glover,Casey Glover,Casey Glover,200,77,P,41.20000076293945,49,40.599998474121094,5,0,0,206,0,0
4373907,Carson,King,Carson King,Carson King,211,72,P,41.275001525878906,57,38.23500061035156,51,19,37.255001068115234,2105,3,5.881999969482422
4379792,Nathan,Fondacaro,Nathan Fondacaro,Nathan Fondacaro,190,70,P,43.37799835205078,71,43.37799835205078,45,8,17.777999877929688,1952,5,11.111000061035156
4380427,Jake,Walrath,Jake Walrath,Jake Walrath,210,76,P,43.242000579833984,63,38.27399826049805,62,11,17.742000579833984,2681,7,11.289999961853027
4380453,Max,Quick,Max Quick,Max Quick,210,71,P,43.555999755859375,57,43.555999755859375,36,12,33.33300018310547,1568,3,8.333000183105469
4382480,William,Przystup,William Przystup,William Przystup,247,76,P,43.731998443603516,67,39.018001556396484,56,21,37.5,2449,5,8.928999900817871
4382555,Ryan,Kost,Ryan Kost,Ryan Kost,220,74,P,41.553001403808594,76,41.553001403808594,38,7,18.42099952697754,1579,4,10.526000022888184
4382574,Jack,Blumer,Jack Blumer,Jack Blumer,203,75,P,41.76100158691406,69,37.58700180053711,46,23,50,1921,1,2.1740000247955322
4387515,George,Souders III,George Souders III,George Souders III,210,77,P,39.71699905395508,68,39.71699905395508,53,17,32.07500076293945,2105,2,3.7739999294281006
4426664,Leighton,Bechdel,Leighton Bechdel,Leighton Bechdel,212,72,P,26,26,26,1,0,0,26,0,0
4426752,Jack,Bouwmeester,Jack Bouwmeester,Jack Bouwmeester,202,74,P,46.04199981689453,64,40.4379997253418,48,20,41.66699981689453,2210,4,8.333000183105469
4426768,Jay,Bramblett,Jay Bramblett,Jay Bramblett,205,74,P,41.61899948120117,65,40.7140007019043,21,7,33.33300018310547,874,1,4.76200008392334
4427055,Lucas,Dean,Lucas Dean,Lucas Dean,215,74,P,41.97800064086914,59,39.97800064086914,46,19,41.30400085449219,1931,2,4.3480000495910645
4427146,Luke,Elzinga,Luke Elzinga,Luke Elzinga,213,76,P,44.130001068115234,58,39.30400085449219,23,9,39.130001068115234,1015,2,8.696000099182129
4427706,Ben,Kiernan,Ben Kiernan,Ben Kiernan,210,72,P,41.22200012207031,59,40,9,5,55.555999755859375,371,0,0
4427982,Austin,McNamara,Austin McNamara,Austin McNamara,210,76,P,46.5,59,42.36000061035156,50,20,40,2325,6,12
4428173,Kyle,Ostendorp,Kyle Ostendorp,Kyle Ostendorp,215,74,P,42,69,35.551998138427734,29,12,41.37900161743164,1218,2,6.896999835968018
4428386,Kyle,Romenick,Kyle Romenick,Kyle Romenick,222,75,P,42.12699890136719,61,42.12699890136719,55,18,32.72700119018555,2317,5,9.090999603271484
4428428,Jordy,Sandy,Jordy Sandy,Jordy Sandy,215,75,P,42.18899917602539,57,39.08100128173828,37,13,35.1349983215332,1561,2,5.40500020980835
4430761,Porter,Wilson,Porter Wilson,Porter Wilson,231,77,P,46.619998931884766,70,43.939998626708984,50,17,34,2331,3,6
4431061,Jack,Dawson,Jack Dawson,Jack Dawson,190,75,P,42.638999938964844,65,41.262001037597656,61,23,37.70500183105469,2601,1,1.6390000581741333
4567043,Ivan,Mora,Ivan Mora,Ivan Mora,189,72,P,41.551998138427734,64,38.948001861572266,58,16,27.586000442504883,2410,4,6.896999835968018
4567536,Jared,Wheatley,Jared Wheatley,Jared Wheatley,202,73,P,36.78900146484375,48,34.78900146484375,19,7,36.84199905395508,699,0,0
4567942,Luke,Akers,Luke Akers,Luke Akers,190,74,P,42.5,48,42.5,2,0,0,85,0,0
4567942,Luke,Akers,Luke Akers,Luke Akers,190,74,P,42.5,48,42.5,2,0,0,85,0,0
4569337,Ryan,Sanborn,Ryan Sanborn,Ryan Sanborn,211,75,P,45.457000732421875,64,42.143001556396484,35,13,37.143001556396484,1591,2,5.714000225067139
4569488,Aaron,Rodriguez,Aaron Rodriguez,Aaron Rodriguez,200,72,P,42.3849983215332,61,34.55799865722656,52,16,30.768999099731445,2204,1,1.9229999780654907
4569499,Colton,Spangler,Colton Spangler,Colton Spangler,192,72,P,43.27299880981445,54,40.57600021362305,33,18,54.54499816894531,1428,1,3.0299999713897705
4569499,Colton,Spangler,Colton Spangler,Colton Spangler,192,72,P,43.27299880981445,54,40.57600021362305,33,18,54.54499816894531,1428,1,3.0299999713897705
4569548,Tom,Foley,Tom Foley,Tom Foley,234,76,P,40.66699981689453,79,39.229000091552734,48,17,35.41699981689453,1952,2,4.166999816894531
4569626,Michael,O'Shaughnessy,Michael O'Shaughnessy,Michael O'Shaughnessy,210,75,P,40.143001556396484,50,38.7140007019043,14,5,35.7140007019043,562,1,7.14300012588501
4570033,Kai,Kroeger,Kai Kroeger,Kai Kroeger,212,76,P,43.1609992980957,60,41.209999084472656,62,23,37.09700012207031,2676,4,6.452000141143799
4570033,Kai,Kroeger,Kai Kroeger,Kai Kroeger,212,76,P,43.1609992980957,60,41.209999084472656,62,23,37.09700012207031,2676,4,6.452000141143799
4570033,Kai,Kroeger,Kai Kroeger,Kai Kroeger,212,76,P,43.1609992980957,60,41.209999084472656,62,23,37.09700012207031,2676,4,6.452000141143799
4570033,Kai,Kroeger,Kai Kroeger,Kai Kroeger,212,76,P,43.1609992980957,60,41.209999084472656,62,23,37.09700012207031,2676,4,6.452000141143799
4570906,Brian,Buschini,Brian Buschini,Brian Buschini,225,73,P,40.70199966430664,60,37.82500076293945,57,20,35.0880012512207,2320,1,1.753999948501587
4571016,Zach,Haynes,Zach Haynes,Zach Haynes,195,73,P,40.93600082397461,54,40.06399917602539,47,20,42.553001403808594,1924,1,2.128000020980835
4571448,Ben,Krimm,Ben Krimm,Ben Krimm,205,74,P,44,44,44,1,0,0,44,0,0
4571597,Matthew,Hayball,Matthew Hayball,Matthew Hayball,187,73,P,47.569000244140625,71,43.74100112915039,58,25,43.10300064086914,2759,4,6.896999835968018
4571597,Matthew,Hayball,Matthew Hayball,Matthew Hayball,187,73,P,47.569000244140625,71,43.74100112915039,58,25,43.10300064086914,2759,4,6.896999835968018
4572468,Josh,Carlson,Josh Carlson,Josh Carlson,205,72,P,38.19200134277344,50,36.1150016784668,26,1,3.8459999561309814,993,0,0
4572500,Grant,Burkett,Grant Burkett,Grant Burkett,184,73,P,43.97100067138672,59,43.97100067138672,35,5,14.28600025177002,1539,1,2.8570001125335693
4573409,Sean,Lehane,Sean Lehane,Sean Lehane,207,72,PK,36.97200012207031,53,36.97200012207031,36,13,36.111000061035156,1331,4,11.111000061035156
4573673,Austin,Dunlap,Austin Dunlap,Austin Dunlap,195,73,P,42.58100128173828,63,42.58100128173828,43,17,39.53499984741211,1831,1,2.3259999752044678
4573688,Jack,Bosman,Jack Bosman,Jack Bosman,192,69,P,38.42499923706055,61,38.42499923706055,40,9,22.5,1537,1,2.5
4573927,Luka,Zurak,Luka Zurak,Luka Zurak,188,72,PK,37.52799987792969,54,37.52799987792969,36,13,36.111000061035156,1351,1,2.7780001163482666
4573927,Luka,Zurak,Luka Zurak,Luka Zurak,188,72,PK,37.52799987792969,54,37.52799987792969,36,13,36.111000061035156,1351,1,2.7780001163482666
