athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,kicking_extra_point_attempts,kicking_extra_points_made,kicking_field_goal_attempts,kicking_field_goals_made,kicking_long_field_goal_made,kicking_field_goal_attempts40_49,kicking_field_goal_attempts50_59,kicking_field_goal_attempts60_99,kicking_field_goals_made40_49,kicking_field_goals_made50_59,kicking_field_goals_made60_99
4248400,Nico,Ramos,Nico Ramos,Nico Ramos,199,71,PK,27,25,11,9,0,0,0,0,0,0,0
4361537,Matthew,Mercurio,Matthew Mercurio,Matthew Mercurio,195,73,PK,55,53,13,10,0,0,0,0,0,0,0
4361765,Brayden,Narveson,Brayden Narveson,Brayden Narveson,210,72,PK,37,37,20,16,57,7,3,0,7,1,0
4361831,Alex,Hale,Alex Hale,Alex Hale,205,72,PK,38,36,32,26,53,9,4,0,6,3,0
4361831,Alex,Hale,Alex Hale,Alex Hale,205,72,PK,38,36,32,26,53,9,4,0,6,3,0
4363440,Wilson,Beaverstock,Wilson Beaverstock,Wilson Beaverstock,210,72,PK,43,40,11,6,0,0,0,0,0,0,0
4365775,Cody,Williams,Cody Williams,Cody Williams,181,70,PK,32,32,10,7,0,0,0,0,0,0,0
4366638,Camden,Wise,Camden Wise,Camden Wise,178,73,PK,50,50,18,16,46,2,0,0,1,0,0
4367029,Perry,Shelbred,Perry Shelbred,Perry Shelbred,170,70,PK,24,21,19,10,0,0,0,0,0,0,0
4370040,Richard,McCollum,Richard McCollum,Richard McCollum,175,69,PK,52,51,14,14,0,0,0,0,0,0,0
4370409,Caleb,Dowden,Caleb Dowden,Caleb Dowden,175,71,PK,40,37,11,5,0,0,0,0,0,0,0
4370409,Caleb,Dowden,Caleb Dowden,Caleb Dowden,175,71,PK,40,37,11,5,0,0,0,0,0,0,0
4371944,Caleb,Griffin,Caleb Griffin,Caleb Griffin,220,75,PK,26,24,19,14,53,8,4,0,5,2,0
4371971,Charles,Campbell,Charles Campbell,Charles Campbell,181,69,PK,44,44,23,18,49,5,3,0,3,0,0
4372718,Dario,Longhetto,Dario Longhetto,Dario Longhetto,185,72,PK,20,20,16,11,51,2,3,0,0,1,0
4373235,Camden,Price,Camden Price,Camden Price,175,73,PK,26,24,12,7,42,7,0,0,4,0,0
4373452,Alex,McNulty,Alex McNulty,Alex McNulty,230,73,PK,26,26,19,11,53,9,5,0,8,2,0
4373653,Kenneth,Almendares,Kenneth Almendares,Kenneth Almendares,249,74,PK,47,46,14,13,46,3,0,0,2,0,0
4374078,Stephen,Ruiz,Stephen Ruiz,Stephen Ruiz,220,77,PK,2,2,3,0,0,0,0,0,0,0,0
4374078,Stephen,Ruiz,Stephen Ruiz,Stephen Ruiz,220,77,PK,2,2,3,0,0,0,0,0,0,0,0
4374078,Stephen,Ruiz,Stephen Ruiz,Stephen Ruiz,220,77,PK,2,2,3,0,0,0,0,0,0,0,0
4383276,Thomas,Burks,Thomas Burks,Thomas Burks,189,73,PK,8,6,7,6,0,0,0,0,0,0,0
4383276,Thomas,Burks,Thomas Burks,Thomas Burks,189,73,PK,8,6,7,6,0,0,0,0,0,0,0
4383276,Thomas,Burks,Thomas Burks,Thomas Burks,189,73,PK,8,6,7,6,0,0,0,0,0,0,0
4427174,Alex,Felkins,Alex Felkins,Alex Felkins,200,75,PK,45,45,22,18,50,9,3,0,7,1,0
4427798,Camden,Lewis,Camden Lewis,Camden Lewis,205,70,PK,65,65,17,11,45,6,1,0,3,0,0
4428310,Noah,Rauschenberg,Noah Rauschenberg,Noah Rauschenberg,198,72,PK,46,46,19,16,49,6,1,0,4,0,0
4428310,Noah,Rauschenberg,Noah Rauschenberg,Noah Rauschenberg,198,72,PK,46,46,19,16,49,6,1,0,4,0,0
4429098,Jacob,Borcila,Jacob Borcila,Jacob Borcila,191,73,PK,30,29,10,7,44,5,0,0,3,0,0
4429715,Diego,Guajardo,Diego Guajardo,Diego Guajardo,185,72,PK,38,36,18,13,51,7,4,0,5,1,0
4429715,Diego,Guajardo,Diego Guajardo,Diego Guajardo,185,72,PK,38,36,18,13,51,7,4,0,5,1,0
4429860,Tim,Horn,Tim Horn,Tim Horn,225,74,PK,44,44,12,8,48,5,0,0,3,0,0
4430026,Michael,Lantz,Michael Lantz,Michael Lantz,190,72,PK,42,42,28,23,48,9,1,0,6,0,0
4430026,Michael,Lantz,Michael Lantz,Michael Lantz,190,72,PK,42,42,28,23,48,9,1,0,6,0,0
4430529,Andrew,Stein,Andrew Stein,Andrew Stein,190,70,PK,28,27,23,17,52,7,2,0,4,1,0
4430529,Andrew,Stein,Andrew Stein,Andrew Stein,190,70,PK,28,27,23,17,52,7,2,0,4,1,0
4431434,Brock,Travelstead,Brock Travelstead,Brock Travelstead,205,73,PK,41,39,24,17,53,6,2,0,4,1,0
4431434,Brock,Travelstead,Brock Travelstead,Brock Travelstead,205,73,PK,41,39,24,17,53,6,2,0,4,1,0
4432538,Jake,Seibert,Jake Seibert,Jake Seibert,197,73,PK,4,4,5,2,30,2,0,0,0,0,0
4432538,Jake,Seibert,Jake Seibert,Jake Seibert,197,73,PK,4,4,5,2,30,2,0,0,0,0,0
4432538,Jake,Seibert,Jake Seibert,Jake Seibert,197,73,PK,4,4,5,2,30,2,0,0,0,0,0
4565772,Matthew,Shipley,Matthew Shipley,Matthew Shipley,190,73,PK,31,30,18,14,51,5,4,0,2,3,0
4566158,Ben,Sauls,Ben Sauls,Ben Sauls,185,70,PK,28,28,16,11,47,7,3,0,5,0,0
4566164,Jack,Olsen,Jack Olsen,Jack Olsen,190,70,PK,31,31,17,14,47,5,1,0,4,0,0
