"","athlete_id","first_name","last_name","full_name","display_name","weight","height","position_abbreviation","experience_years","rushing_long_rushing","rushing_rushing_attempts","rushing_rushing_touchdowns","rushing_rushing_yards","receiving_receiving_touchdowns","receiving_receiving_yards","receiving_receptions"
"1","107494","Trey","Sanders","Trey Sanders","Trey Sanders",222,72,"RB",3,18,48,6,176,0,20,5
"2","237553","Tyler","Green","Tyler Green","Tyler Green",210,70,"RB",4,8,2,0,9,0,0,0
"3","237553","Tyler","Green","Tyler Green","Tyler Green",210,70,"RB",4,8,2,0,9,0,0,0
"4","4240911","Jacob","Kibodi","Jacob Kibodi","Jacob Kibodi",225,73,"RB",4,69,129,7,729,1,79,9
"5","4243459","Jakairi","Moses","Jakairi Moses","Jakairi Moses",195,69,"RB",4,38,20,1,112,1,36,3
"6","4243826","Tre","Siggers","Tre Siggers","Tre Siggers",200,70,"RB",4,29,40,2,200,0,36,6
"7","4244071","Xavier","Williams","Xavier Williams","Xavier Williams",188,69,"RB",4,18,42,1,137,0,1,1
"8","4246731","Isaac","Foster","Isaac Foster","Isaac Foster",175,70,"WR",4,15,8,0,54,1,228,19
"9","4250013","Ramon","Jefferson","Ramon Jefferson","Ramon Jefferson",210,70,"RB",5,74,24,0,175,0,0,0
"10","4258419","Hunter","Smith","Hunter Smith","Hunter Smith",181,71,"RB",2,62,94,3,507,0,71,8
"11","4259910","Isaiah","Woullard","Isaiah Woullard","Isaiah Woullard",215,69,"RB",4,44,98,1,447,1,26,9
"12","4360075","Ryan","Montgomery","Ryan Montgomery","Ryan Montgomery",205,70,"RB",4,29,54,1,329,2,91,11
"13","4360075","Ryan","Montgomery","Ryan Montgomery","Ryan Montgomery",205,70,"RB",4,29,54,1,329,2,91,11
"14","4360205","David","Bailey","David Bailey","David Bailey",235,72,"RB",4,19,20,1,97,0,16,1
"15","4360379","Kenyon","Sims","Kenyon Sims","Kenyon Sims",191,71,"RB",4,4,4,0,8,0,0,0
"16","4360425","Ronnie","Walker Jr.","Ronnie Walker Jr.","Ronnie Walker Jr.",210,70,"RB",4,26,136,3,574,0,47,3
"17","4360492","Samson","Evans","Samson Evans","Samson Evans",217,72,"RB",4,61,142,12,635,0,89,12
"18","4360516","Tyrone","Tracy Jr.","Tyrone Tracy Jr.","Tyrone Tracy Jr.",210,73,"RB",4,62,113,8,716,0,132,19
"19","4360564","TaMerik","Williams","TaMerik Williams","TaMerik Williams",227,73,"RB",4,75,114,8,716,0,36,7
"20","4360564","TaMerik","Williams","TaMerik Williams","TaMerik Williams",227,73,"RB",4,75,114,8,716,0,36,7
"21","4360564","TaMerik","Williams","TaMerik Williams","TaMerik Williams",227,73,"RB",4,75,114,8,716,0,36,7
"22","4360589","Dontae","Smith","Dontae Smith","Dontae Smith",198,71,"RB",4,70,84,3,439,1,85,8
"23","4360652","Deion","Smith","Deion Smith","Deion Smith",200,72,"RB",4,18,23,1,64,1,65,10
"24","4360943","Bryce","Williams","Bryce Williams","Bryce Williams",215,72,"RB",4,8,36,1,123,0,31,4
"25","4361088","Colson","Yankoff","Colson Yankoff","Colson Yankoff",225,76,"RB",4,25,13,1,83,0,-2,1
"26","4361095","Richard","Newton","Richard Newton","Richard Newton",223,72,"RB",4,17,5,0,30,0,0,0
"27","4361263","Drake","Anderson","Drake Anderson","Drake Anderson",200,69,"RB",3,15,40,1,132,1,93,17
"28","4361333","Asa","Martin","Asa Martin","Asa Martin",205,71,"RB",4,16,23,0,98,1,71,10
"29","4361350","Brian","Snead","Brian Snead","Brian Snead",211,72,"RB",4,8,16,0,39,0,7,1
"30","4361604","Blake","Watson","Blake Watson","Blake Watson",195,69,"RB",4,69,177,14,1045,3,458,50
"31","4361604","Blake","Watson","Blake Watson","Blake Watson",195,69,"RB",4,69,177,14,1045,3,458,50
"32","4361837","Jahmyl","Jeter","Jahmyl Jeter","Jahmyl Jeter",235,72,"RB",4,22,34,6,140,0,9,1
"33","4361945","Jarveon","Howard","Jarveon Howard","Jarveon Howard",200,70,"RB",4,56,154,7,772,0,172,26
"34","4362313","O'Shaan","Allison","O'Shaan Allison","O'Shaan Allison",211,69,"RB",4,30,139,3,452,0,24,9
"35","4362496","Lorenzo","Lingard","Lorenzo Lingard","Lorenzo Lingard",205,72,"RB",4,71,143,4,641,2,368,38
"36","4362538","Juma","Otoviano","Juma Otoviano","Juma Otoviano",203,70,"RB",4,24,85,4,312,0,100,12
"37","4362541","Ari","Broussard","Ari Broussard","Ari Broussard",221,72,"RB",4,16,29,0,91,0,14,2
"38","4362569","Kobe","Lewis","Kobe Lewis","Kobe Lewis",215,71,"RB",4,75,85,3,412,0,100,18
"39","4362620","Kavosiey","Smoke","Kavosiey Smoke","Kavosiey Smoke",215,69,"RB",4,0,2,0,-2,0,0,0
"40","4362632","Chris","Curry","Chris Curry","Chris Curry",220,71,"RB",4,9,8,0,28,0,0,0
"41","4362757","Simi","Bakare","Simi Bakare","Simi Bakare",205,71,"RB",4,18,88,0,287,1,174,16
"42","4362841","Deshaun","Fenwick","Deshaun Fenwick","Deshaun Fenwick",222,74,"RB",4,38,90,5,500,2,76,9
"43","4362852","Dakereon","Joyner","Dakereon Joyner","Dakereon Joyner",229,73,"RB",4,16,50,5,120,0,117,21
