athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,experience_years,receiving_long_reception,receiving_receiving_touchdowns,receiving_receiving_yards,receiving_receptions
548696,Malik,Jackson,Malik Jackson,Malik Jackson,230,75,TE,3,5,0,12,3
4038961,Cam,McCormick,Cam McCormick,Cam McCormick,260,77,TE,4,20,0,62,8
4038961,Cam,McCormick,Cam McCormick,Cam McCormick,260,77,TE,4,20,0,62,8
4242373,Bentley,Hanshaw,Bentley Hanshaw,Bentley Hanshaw,245,76,TE,4,24,5,202,17
4250491,Jacob,Logan,Jacob Logan,Jacob Logan,240,75,TE,4,33,4,169,15
4360204,Johnny,Langan,Johnny Langan,Johnny Langan,245,75,TE,4,30,0,121,14
4360873,Chris,Carter,Chris Carter,Chris Carter,250,76,TE,3,26,2,136,12
4360967,Brevyn,Spann-Ford,Brevyn Spann-Ford,Brevyn Spann-Ford,270,79,TE,4,31,2,239,25
4360978,David,Martin-Robinson,David Martin-Robinson,David Martin-Robinson,255,76,TE,4,47,4,537,40
4360993,Jordan,Smith,Jordan Smith,Jordan Smith,230,77,TE,4,25,4,287,25
4360993,Jordan,Smith,Jordan Smith,Jordan Smith,230,77,TE,4,25,4,287,25
4361027,Thomas,Yassmin,Thomas Yassmin,Thomas Yassmin,251,77,TE,4,41,1,89,8
4361048,Pat,McSweeney,Pat McSweeney,Pat McSweeney,240,76,TE,4,25,0,186,15
4361100,Jack,Westover,Jack Westover,Jack Westover,248,75,TE,4,28,4,332,35
4361112,Devin,Culp,Devin Culp,Devin Culp,237,76,TE,4,30,2,194,15
4361112,Devin,Culp,Devin Culp,Devin Culp,237,76,TE,4,30,2,194,15
4361279,Charlie,Mangieri,Charlie Mangieri,Charlie Mangieri,255,76,TE,4,25,1,53,7
4361328,George,Takacs,George Takacs,George Takacs,255,78,TE,4,27,1,64,6
4361329,Joey,Gatewood,Joey Gatewood,Joey Gatewood,245,76,TE,4,34,3,150,9
4361329,Joey,Gatewood,Joey Gatewood,Joey Gatewood,245,76,TE,4,34,3,150,9
4361660,Trent,Pennix,Trent Pennix,Trent Pennix,235,75,TE,4,62,3,179,14
4361714,Josiah,Johnson,Josiah Johnson,Josiah Johnson,235,77,TE,4,29,1,163,21
4362110,Malcolm,Epps,Malcolm Epps,Malcolm Epps,255,78,TE,4,36,0,115,9
4362193,TJ,Banks,TJ Banks,TJ Banks,245,77,TE,4,21,1,150,19
4362217,Mike,O'Laughlin,Mike O'Laughlin,Mike O'Laughlin,250,77,TE,4,18,0,94,12
4362248,Anthony,Torres,Anthony Torres,Anthony Torres,250,78,TE,3,39,3,434,24
4362248,Anthony,Torres,Anthony Torres,Anthony Torres,250,78,TE,3,39,3,434,24
4362421,Alec,Holler,Alec Holler,Alec Holler,230,75,TE,4,38,2,225,22
4362603,Brenden,Bates,Brenden Bates,Brenden Bates,251,77,TE,5,33,0,89,4
4362623,Keaton,Upshaw,Keaton Upshaw,Keaton Upshaw,245,79,TE,4,27,2,173,16
4362738,AJ,Lewis,AJ Lewis,AJ Lewis,240,76,TE,3,27,0,50,4
4362770,Messiah,Swinson,Messiah Swinson,Messiah Swinson,260,80,TE,4,18,0,48,6
4362770,Messiah,Swinson,Messiah Swinson,Messiah Swinson,260,80,TE,4,18,0,48,6
4363059,Jay,Gibson,Jay Gibson,Jay Gibson,260,76,TE,4,23,0,81,6
4363059,Jay,Gibson,Jay Gibson,Jay Gibson,260,76,TE,4,23,0,81,6
4363129,Pearse,Migl,Pearse Migl,Pearse Migl,227,72,TE,4,24,0,54,6
4364487,Ryan,Rivera,Ryan Rivera,Ryan Rivera,234,75,TE,4,21,0,174,13
4365393,Jordan,Goco,Jordan Goco,Jordan Goco,245,78,TE,4,31,2,78,10
4365630,Derryk,Snell,Derryk Snell,Derryk Snell,238,74,TE,4,40,3,159,12
4365637,Treyton,Pickering,Treyton Pickering,Treyton Pickering,246,76,TE,4,45,2,303,15
4365660,Gino,Campiotti,Gino Campiotti,Gino Campiotti,225,74,TE,4,30,4,289,21
4366210,Hayden,Meacham,Hayden Meacham,Hayden Meacham,245,77,TE,4,26,2,181,18
4366296,Justin,Marcus,Justin Marcus,Justin Marcus,245,77,TE,4,6,0,14,4
4366728,Ian,Renninger,Ian Renninger,Ian Renninger,254,77,TE,4,30,2,151,15
4366762,Braden,Brose,Braden Brose,Braden Brose,245,75,TE,4,39,5,364,27
4366910,Shawn,Bowman,Shawn Bowman,Shawn Bowman,265,77,TE,4,9,0,24,4
4366984,Kyle,Lepkowski,Kyle Lepkowski,Kyle Lepkowski,256,76,TE,4,56,3,492,39
4367207,Matt,Alaimo,Matt Alaimo,Matt Alaimo,250,77,TE,4,12,0,53,9
4367207,Matt,Alaimo,Matt Alaimo,Matt Alaimo,250,77,TE,4,12,0,53,9
4367830,Kyle,Klink,Kyle Klink,Kyle Klink,245,76,TE,4,11,0,56,10
4367906,Liam,McHale,Liam McHale,Liam McHale,245,78,TE,4,22,0,60,5
4367924,Jax,Sherrard,Jax Sherrard,Jax Sherrard,255,77,TE,4,44,1,147,12
4368000,Caden,Dumas,Caden Dumas,Caden Dumas,250,77,TE,4,8,0,21,3
4368000,Caden,Dumas,Caden Dumas,Caden Dumas,250,77,TE,4,8,0,21,3
4368096,Nathan,Bax,Nathan Bax,Nathan Bax,250,76,TE,4,11,0,31,5
4368315,Zach,Heins,Zach Heins,Zach Heins,260,79,TE,4,31,5,319,21
4368424,Jake,Benio,Jake Benio,Jake Benio,255,75,TE,4,22,1,97,14
4368483,Nolan,Quinlan,Nolan Quinlan,Nolan Quinlan,240,77,TE,4,41,1,207,17
4368483,Nolan,Quinlan,Nolan Quinlan,Nolan Quinlan,240,77,TE,4,41,1,207,17
4369864,Jacob,Warren,Jacob Warren,Jacob Warren,253,78,TE,4,34,4,182,15
4369991,Steven,Stilianos,Steven Stilianos,Steven Stilianos,255,77,TE,4,37,0,92,7
4370472,Chris,Mottillo,Chris Mottillo,Chris Mottillo,255,77,TE,4,20,0,56,5
4370803,Grant,Misch,Grant Misch,Grant Misch,240,77,TE,4,5,0,13,3
4370803,Grant,Misch,Grant Misch,Grant Misch,240,77,TE,4,5,0,13,3
4371105,Jadd,Dolegala,Jadd Dolegala,Jadd Dolegala,230,74,TE,4,27,1,94,10
4371395,Austin,Eldridge,Austin Eldridge,Austin Eldridge,245,75,TE,4,8,0,24,7
4371969,Turon,Ivy Jr.,Turon Ivy Jr.,Turon Ivy Jr.,240,77,TE,4,75,2,276,15
