athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,experience_years,receiving_long_reception,receiving_receiving_touchdowns,receiving_receiving_yards,receiving_receptions
146583,John,Adams,John Adams,John Adams,185,74,WR,2,31,2,149,15
146583,John,Adams,John Adams,John Adams,185,74,WR,2,31,2,149,15
560147,Kevin,Johnson,Kevin Johnson,Kevin Johnson,175,72,WR,4,11,0,13,2
4240424,Waydale,Jones,Waydale Jones,Waydale Jones,205,76,WR,4,40,2,64,2
4240676,Beau,Corrales,Beau Corrales,Beau Corrales,215,76,WR,4,26,0,43,2
4240735,Chris,Autman-Bell,Chris Autman-Bell,Chris Autman-Bell,210,73,WR,4,39,1,88,6
4240775,Harry,Van Dyne,Harry Van Dyne,Harry Van Dyne,220,77,WR,4,54,2,619,43
4240785,Clevan,Thomas,Clevan Thomas,Clevan Thomas,192,71,WR,4,39,4,364,26
4242148,Jarrod,Barnes,Jarrod Barnes,Jarrod Barnes,180,71,WR,4,46,5,576,50
4243984,Zack,Dobson,Zack Dobson,Zack Dobson,170,68,WR,4,72,2,305,21
4244768,Julian,Hicks,Julian Hicks,Julian Hicks,202,74,WR,4,85,11,758,43
4245269,Zach,Borisch,Zach Borisch,Zach Borisch,200,74,RB,3,5,0,7,2
4247578,Hamze,El-Zayat,Hamze El-Zayat,Hamze El-Zayat,182,68,WR,4,50,2,370,25
4249602,Kyndel,Dean,Kyndel Dean,Kyndel Dean,186,73,WR,4,51,1,320,25
4249856,Isaiah,Hill,Isaiah Hill,Isaiah Hill,190,71,WR,4,18,0,77,9
4249856,Isaiah,Hill,Isaiah Hill,Isaiah Hill,190,71,WR,4,18,0,77,9
4250765,Brandon,Porter,Brandon Porter,Brandon Porter,165,70,WR,4,73,7,1072,67
4250927,Lyndon,Rash,Lyndon Rash,Lyndon Rash,220,72,WR,4,37,7,390,36
4251136,Spencer,Curtis,Spencer Curtis,Spencer Curtis,182,71,WR,4,73,1,373,30
4251808,Josh,Thompson,Josh Thompson,Josh Thompson,190,70,WR,4,42,0,284,22
4258412,Perry,Carter,Perry Carter,Perry Carter,175,70,WR,4,63,3,603,34
4258412,Perry,Carter,Perry Carter,Perry Carter,175,70,WR,4,63,3,603,34
4261911,Monterio,Hunt,Monterio Hunt,Monterio Hunt,188,73,WR,4,55,4,555,33
4360159,Andre,Pegues,Andre Pegues,Andre Pegues,205,75,WR,4,56,2,474,24
4360225,Jehlani,Galloway,Jehlani Galloway,Jehlani Galloway,185,71,WR,4,19,0,88,14
4360278,Jaylon,Robinson,Jaylon Robinson,Jaylon Robinson,180,69,WR,4,29,1,397,32
4360282,Drake,Stoops,Drake Stoops,Drake Stoops,189,70,WR,4,60,10,880,78
4360282,Drake,Stoops,Drake Stoops,Drake Stoops,189,70,WR,4,60,10,880,78
4360382,D'Ante',Cox,D'Ante' Cox,D'Ante' Cox,180,72,WR,4,50,1,487,34
4360407,Jarett,Garner,Jarett Garner,Jarett Garner,208,75,WR,4,7,0,22,4
4360435,Jacolby,Hewitt,Jacolby Hewitt,Jacolby Hewitt,210,73,WR,4,49,4,516,32
4360462,Geordon,Porter,Geordon Porter,Geordon Porter,195,72,WR,4,28,1,213,22
4360486,Nico,Ragaini,Nico Ragaini,Nico Ragaini,190,72,WR,4,29,0,252,29
4360486,Nico,Ragaini,Nico Ragaini,Nico Ragaini,190,72,WR,4,29,0,252,29
4360637,Jeshaun,Jones,Jeshaun Jones,Jeshaun Jones,188,73,WR,4,64,4,747,53
4360649,Dimitri,Stanley,Dimitri Stanley,Dimitri Stanley,200,72,WR,4,32,0,139,15
4360707,I'Shawn,Stewart,I'Shawn Stewart,I'Shawn Stewart,180,70,WR,3,28,0,70,5
4360803,Marcus,Riley,Marcus Riley,Marcus Riley,175,71,WR,4,65,5,621,31
4360818,Tyler,Harrell,Tyler Harrell,Tyler Harrell,200,72,WR,4,14,0,45,4
4360823,Luke,Shiflett,Luke Shiflett,Luke Shiflett,201,74,WR,4,48,3,288,27
4360886,Terrence,Horne,Terrence Horne,Terrence Horne,185,68,WR,4,26,0,33,2
4361059,Da'Kendall,James,Da'Kendall James,Da'Kendall James,190,73,WR,4,36,2,205,18
4361089,Marquis,Spiker,Marquis Spiker,Marquis Spiker,200,75,WR,4,47,1,222,12
4361092,Austin,Osborne,Austin Osborne,Austin Osborne,205,74,WR,4,42,0,294,28
4361173,Andre,Hunt,Andre Hunt,Andre Hunt,188,72,WR,4,44,1,71,5
4361278,Raymond,Niro III,Raymond Niro III,Raymond Niro III,190,71,WR,4,19,0,40,3
4361293,Thomas,Pannunzio,Thomas Pannunzio,Thomas Pannunzio,180,68,WR,4,49,1,99,12
4361319,Erik,Brooks,Erik Brooks,Erik Brooks,171,67,WR,4,49,5,711,55
4361351,Jaelen,Gill,Jaelen Gill,Jaelen Gill,185,72,WR,4,65,5,447,44
4361369,Blue,Smith,Blue Smith,Blue Smith,210,76,WR,4,21,1,118,10
4361397,Marcus,Rogers,Marcus Rogers,Marcus Rogers,211,75,WR,4,5,0,9,2
4361412,Daniel,George,Daniel George,Daniel George,210,74,WR,4,50,1,529,52
4361492,Amad,Anderson Jr.,Amad Anderson Jr.,Amad Anderson Jr.,165,71,WR,4,75,3,647,37
4361527,Eddie,Lewis,Eddie Lewis,Eddie Lewis,188,72,WR,4,46,0,120,9
4361593,Cornell,Hendrick Jr.,Cornell Hendrick Jr.,Cornell Hendrick Jr.,186,72,WR,4,31,0,95,8
4361598,Aaron,Moore,Aaron Moore,Aaron Moore,185,72,WR,4,42,3,172,12
4361601,Darius,Savedge,Darius Savedge,Darius Savedge,215,75,WR,4,63,4,529,47
4361678,Jasiah,Provillon,Jasiah Provillon,Jasiah Provillon,205,74,WR,3,16,1,33,4
4361679,Devin,Carter,Devin Carter,Devin Carter,214,75,WR,4,49,2,501,27
4361697,Gunner,Gentry,Gunner Gentry,Gunner Gentry,205,75,WR,4,17,1,31,3
4361736,Joseph,Scates,Joseph Scates,Joseph Scates,210,74,WR,4,54,5,339,30
4361762,Sean,Shaw Jr.,Sean Shaw Jr.,Sean Shaw Jr.,210,78,WR,4,14,0,101,12
4361915,Sam,Pinckney,Sam Pinckney,Sam Pinckney,220,76,WR,4,52,7,904,64
4361936,Anthony,Queeley,Anthony Queeley,Anthony Queeley,205,74,WR,4,18,3,275,28
4361987,Darryle,Simmons,Darryle Simmons,Darryle Simmons,211,75,WR,4,31,0,249,24
4362109,Al'vonte,Woodard,Al'vonte Woodard,Al'vonte Woodard,195,74,WR,4,26,2,339,31
4362143,Heron,Maurisseau,Heron Maurisseau,Heron Maurisseau,191,72,WR,4,69,1,110,7
4362143,Heron,Maurisseau,Heron Maurisseau,Heron Maurisseau,191,72,WR,4,69,1,110,7
4362143,Heron,Maurisseau,Heron Maurisseau,Heron Maurisseau,191,72,WR,4,69,1,110,7
4362188,Sterling,Galban,Sterling Galban,Sterling Galban,180,71,WR,3,23,1,126,11
4362200,Randy,Fields Jr.,Randy Fields Jr.,Randy Fields Jr.,197,75,WR,4,13,0,42,6
4362293,Adam,Beale,Adam Beale,Adam Beale,162,68,WR,4,22,0,42,3
4362308,Jerome,Buckner,Jerome Buckner,Jerome Buckner,165,68,WR,3,46,2,302,23
4362310,Shane,Hooks,Shane Hooks,Shane Hooks,191,76,WR,4,32,2,133,9
4362312,Tyler,Walton,Tyler Walton,Tyler Walton,187,70,WR,4,27,2,349,37
4362364,Javaughn,Williams,Javaughn Williams,Javaughn Williams,190,75,WR,4,23,0,47,5
4362364,Javaughn,Williams,Javaughn Williams,Javaughn Williams,190,75,WR,4,23,0,47,5
4362499,Mark,Pope,Mark Pope,Mark Pope,180,72,WR,4,54,1,420,33
4362501,Brian,Hightower,Brian Hightower,Brian Hightower,215,75,WR,4,20,0,101,10
4362503,Dee,Wiggins,Dee Wiggins,Dee Wiggins,195,75,WR,4,39,2,246,20
4362555,August,Pitre III,August Pitre III,August Pitre III,176,73,WR,4,57,5,413,23
4362617,Bryce,Oliver,Bryce Oliver,Bryce Oliver,212,73,WR,4,71,8,978,64
4362664,Jah'Marae,Sheread,Jah'Marae Sheread,Jah'Marae Sheread,175,67,WR,4,68,2,441,46
4362741,Demontrez,Brown,Demontrez Brown,Demontrez Brown,294,75,WR,3,13,0,36,4
4362741,Demontrez,Brown,Demontrez Brown,Demontrez Brown,294,75,WR,3,13,0,36,4
4362753,Dominic,Gicinto,Dominic Gicinto,Dominic Gicinto,185,69,WR,4,43,1,124,7
4362794,Cam,Johnson,Cam Johnson,Cam Johnson,205,72,WR,4,52,5,684,50
4362983,Tykee,Ogle-Kellogg,Tykee Ogle-Kellogg,Tykee Ogle-Kellogg,225,77,WR,4,46,7,521,30
4363030,Warren,Thompson,Warren Thompson,Warren Thompson,205,75,WR,4,33,2,246,19
4363117,Kaleb,Carter,Kaleb Carter,Kaleb Carter,180,72,WR,4,11,0,26,3
4363528,Tanner,Knue,Tanner Knue,Tanner Knue,178,71,WR,4,39,3,479,50
4364536,Anthony,Stell Jr.,Anthony Stell Jr.,Anthony Stell Jr.,180,70,WR,4,29,2,259,27
4364538,Freddie,Roberson,Freddie Roberson,Freddie Roberson,195,74,WR,4,36,1,149,11
4365298,Jahquan,Bloomfield,Jahquan Bloomfield,Jahquan Bloomfield,190,73,WR,4,44,1,258,12
4365454,Takairee,Kenebrew,Takairee Kenebrew,Takairee Kenebrew,190,74,WR,4,59,10,648,41
4365484,Noah,Frith,Noah Frith,Noah Frith,205,76,WR,4,55,3,323,17
4365620,Koby,Duru,Koby Duru,Koby Duru,200,74,WR,4,53,2,84,6
4365710,Jaren,Mitchell,Jaren Mitchell,Jaren Mitchell,185,70,WR,4,27,1,187,19
4365710,Jaren,Mitchell,Jaren Mitchell,Jaren Mitchell,185,70,WR,4,27,1,187,19
4365929,Lance,Babb II,Lance Babb II,Lance Babb II,195,72,WR,4,65,0,74,4
4365935,Justin,Kraft,Justin Kraft,Justin Kraft,175,72,WR,4,15,0,36,3
4366032,Brian,Jenkins Jr.,Brian Jenkins Jr.,Brian Jenkins Jr.,160,67,WR,4,44,0,377,21
4366293,Assanti,Kearney,Assanti Kearney,Assanti Kearney,200,74,WR,4,57,4,499,33
4366625,Reggie,Brown,Reggie Brown,Reggie Brown,195,73,WR,4,80,9,1010,51
4366644,Davis,Patterson,Davis Patterson,Davis Patterson,198,76,WR,4,28,0,197,16
4366859,Avery,Jones,Avery Jones,Avery Jones,202,74,WR,4,28,0,43,3
4366859,Avery,Jones,Avery Jones,Avery Jones,202,74,WR,4,28,0,43,3
4367042,John,Erby,John Erby,John Erby,185,70,WR,3,57,3,412,26
4367124,D'Ago,Hunter,D'Ago Hunter,D'Ago Hunter,160,66,RB,4,29,0,137,22
4367179,Josiah,Norwood,Josiah Norwood,Josiah Norwood,175,68,WR,4,81,2,178,12
4367179,Josiah,Norwood,Josiah Norwood,Josiah Norwood,175,68,WR,4,81,2,178,12
4367816,Kym,Wimberly,Kym Wimberly,Kym Wimberly,200,72,WR,4,48,2,159,9
4367945,Kahtero,Summers,Kahtero Summers,Kahtero Summers,213,75,WR,4,70,6,1027,56
4368163,Dakota,Caton,Dakota Caton,Dakota Caton,185,70,WR,4,50,3,413,39
4368174,Damoriea,Vick,Damoriea Vick,Damoriea Vick,206,75,WR,4,28,4,506,51
4368287,Jadon,Janke,Jadon Janke,Jadon Janke,210,75,WR,4,56,8,740,46
4368290,Jaxon,Janke,Jaxon Janke,Jaxon Janke,210,75,WR,4,60,5,730,45
4368341,Je'Quan,Burton,Je'Quan Burton,Je'Quan Burton,187,70,WR,4,39,2,277,24
4368531,Kenny,Brewer III,Kenny Brewer III,Kenny Brewer III,205,72,WR,4,21,0,35,3
4368612,Jay,Parker,Jay Parker,Jay Parker,147,65,WR,4,28,2,475,60
4368612,Jay,Parker,Jay Parker,Jay Parker,147,65,WR,4,28,2,475,60
4368797,Ahmad,Edwards,Ahmad Edwards,Ahmad Edwards,180,73,WR,4,57,1,354,31
4368859,Jacob,Bell,Jacob Bell,Jacob Bell,185,75,WR,4,30,0,187,20
4368859,Jacob,Bell,Jacob Bell,Jacob Bell,185,75,WR,4,30,0,187,20
4369787,Ty,King,Ty King,Ty King,175,72,WR,4,59,2,455,36
4369791,Chandler,Smith,Chandler Smith,Chandler Smith,186,70,WR,4,41,5,880,73
4369804,Peyton,Ringer,Peyton Ringer,Peyton Ringer,160,67,WR,4,14,0,21,2
4369804,Peyton,Ringer,Peyton Ringer,Peyton Ringer,160,67,WR,4,14,0,21,2
4370170,Landon,Parker,Landon Parker,Landon Parker,204,75,WR,3,29,1,128,8
4370170,Landon,Parker,Landon Parker,Landon Parker,204,75,WR,3,29,1,128,8
4370353,Talik,Keaton,Talik Keaton,Talik Keaton,190,72,WR,4,25,0,133,12
4370358,Caleb,McMillan,Caleb McMillan,Caleb McMillan,200,73,WR,3,75,2,231,15
4370451,R.J.,Starkey,R.J. Starkey,R.J. Starkey,220,73,WR,4,23,0,204,27
4370473,Ryan,Cragun,Ryan Cragun,Ryan Cragun,190,73,WR,4,27,0,105,10
4370797,Billy,Kemp IV,Billy Kemp IV,Billy Kemp IV,180,69,WR,4,34,1,310,35
4370976,Donald,Johnson III,Donald Johnson III,Donald Johnson III,187,71,WR,4,19,0,93,9
4371183,Jaelin,Campbell,Jaelin Campbell,Jaelin Campbell,195,73,WR,4,51,1,511,36
4371259,David,Robinson Jr.,David Robinson Jr.,David Robinson Jr.,200,75,WR,4,78,4,521,32
4371381,Levar,Gumms,Levar Gumms,Levar Gumms,195,74,WR,4,32,1,155,16
4371418,Michael,Fox,Michael Fox,Michael Fox,175,72,WR,4,41,1,353,30
4371758,Jeremy,Tate Jr.,Jeremy Tate Jr.,Jeremy Tate Jr.,259,77,WR,4,40,2,157,11
4371968,Miles,Marshall,Miles Marshall,Miles Marshall,212,76,WR,4,38,0,134,9
4372365,Marquez,Perez,Marquez Perez,Marquez Perez,191,71,WR,4,49,2,325,22
4372472,Paul,Woods,Paul Woods,Paul Woods,180,73,WR,4,43,2,327,26
4372490,Jordan,Bonner,Jordan Bonner,Jordan Bonner,202,73,WR,4,53,5,522,40
4372541,Caleb,Chapman,Caleb Chapman,Caleb Chapman,220,77,WR,4,64,8,656,38
4372597,Jamarye,Joiner,Jamarye Joiner,Jamarye Joiner,205,73,WR,4,22,0,98,9
4372742,Monroe,Young,Monroe Young,Monroe Young,205,73,WR,4,34,0,139,13
4372769,Lawrence,Keys III,Lawrence Keys III,Lawrence Keys III,170,71,WR,4,57,7,599,33
4372782,Joe,Wilkins Jr.,Joe Wilkins Jr.,Joe Wilkins Jr.,202,74,WR,4,49,1,343,25
4373016,Joshua,Fleeks,Joshua Fleeks,Joshua Fleeks,205,72,WR,4,25,0,69,8
4373062,Phillip,Brooks,Phillip Brooks,Phillip Brooks,171,68,WR,4,40,5,589,53
4373086,Seth,Porter,Seth Porter,Seth Porter,170,68,WR,4,16,1,23,2
4373086,Seth,Porter,Seth Porter,Seth Porter,170,68,WR,4,16,1,23,2
4373427,Julian,Ortega-Jones,Julian Ortega-Jones,Julian Ortega-Jones,200,74,WR,4,17,0,27,3
4373427,Julian,Ortega-Jones,Julian Ortega-Jones,Julian Ortega-Jones,200,74,WR,4,17,0,27,3
4373662,Billy,Bowens,Billy Bowens,Billy Bowens,200,73,WR,4,52,1,360,25
4373680,Maclaine,Griffin,Maclaine Griffin,Maclaine Griffin,200,74,WR,4,40,2,230,15
4373686,Stefan,Cobbs,Stefan Cobbs,Stefan Cobbs,190,72,WR,4,40,1,241,23
4373810,Isaah,Crocker,Isaah Crocker,Isaah Crocker,183,73,WR,4,55,1,106,4
4373887,Mo,Edwards Jr.,Mo Edwards Jr.,Mo Edwards Jr.,195,75,WR,4,69,1,348,23
