Player,Pos.,2023 Team,2024 Team,Type,Snaps,Age,Current APY,Guarantees
Ryan Tannehill,QB,Titans,,UFA,47.60%,36,"$29,500,000 ","$62,000,000 "
David Bakhtiari,LT,Packers,,SFA,5.00%,33,"$23,000,000 ","$30,000,000 "
Mike Williams,WR,Chargers,,SFA,14.40%,30,"$20,000,000 ","$40,000,000 "
Jamal Adams,S,Seahawks,,SFA,43.60%,29,"$17,500,000 ","$21,000,000 "
J.C. Jackson,CB,Patriots,,SFA,46.00%,29,"$16,500,000 ","$40,000,000 "
Emmanuel Ogbah,EDGE,Dolphins,,SFA,22.30%,31,"$16,350,000 ","$32,000,000 "
Hunter Renfrow,WR,Raiders,,SFA,34.70%,29,"$15,850,000 ","$14,500,000 "
Justin Simmons,S,Broncos,,SFA,87.20%,31,"$15,250,000 ","$32,100,000 "
Odell Beckham Jr.,WR,Ravens,,Void,41.30%,32,"$15,000,000 ","$15,000,000 "
Eddie Jackson,S,Bears,,SFA,60.20%,31,"$14,600,000 ","$22,000,000 "
Randy Gregory,EDGE,49ers,,UFA,38.50%,32,"$13,900,000 ","$28,000,000 "
Laken Tomlinson,LG,Jets,,SFA,100.00%,32,"$13,333,333 ","$23,900,000 "
D.J. Reader,IDL,Bengals,,UFA,48.80%,30,"$13,250,000 ","$20,250,000 "
Quandre Diggs,S,Seahawks,,SFA,97.10%,31,"$13,000,000 ","$13,490,000 "
Ryan Jensen,C,Buccaneers,,Void,0.00%,33,"$13,000,000 ","$23,000,000 "
Adoree' Jackson,CB,Giants,,UFA,70.20%,29,"$13,000,000 ","$24,500,000 "
Marcus Davenport,EDGE,Vikings,,UFA,10.40%,28,"$13,000,000 ","$10,000,000 "
Kevin Byard,S,Eagles,,SFA,96.50%,31,"$12,550,000 ","$7,000,000 "
Derrick Henry,RB,Titans,,UFA,53.10%,30,"$12,500,000 ","$25,500,000 "
Jerome Baker,LB,Dolphins,,SFA,64.60%,28,"$12,500,000 ","$20,000,000 "
Charles Leno Jr.,LT,Commanders,,SFA,78.60%,33,"$12,500,000 ","$9,000,000 "
Za'Darius Smith,EDGE,Browns,,Void,55.00%,32,"$11,677,000 ","$11,677,000 "
Curtis Samuel,WR,Commanders,,UFA,51.00%,28,"$11,500,000 ","$21,500,000 "
Aaron Jones,RB,Packers,,SFA,32.30%,30,"$11,500,000 ","$8,520,000 "
Tyler Boyd,WR,Bengals,,UFA,75.70%,30,"$10,750,000 ","$9,000,000 "
Yannick Ngakoue,EDGE,Bears,,UFA,55.30%,29,"$10,500,000 ","$9,990,000 "
Cody Whitehair,LG,Bears,,SFA,69.40%,32,"$10,250,000 ","$12,026,078 "
Stephon Gilmore,CB,Cowboys,,UFA,87.20%,34,"$10,000,000 ","$9,510,000 "
Folorunso Fatukasi,IDL,Jaguars,,SFA,37.30%,29,"$10,000,000 ","$20,000,000 "
Marquez Valdes-Scantling,WR,Chiefs,,SFA,54.70%,30,"$10,000,000 ","$8,560,000 "
Fletcher Cox,IDL,Eagles,,Void,58.90%,34,"$10,000,000 ","$10,000,000 "
Michael Thomas,WR,Saints,,Void,42.30%,31,"$10,000,000 ","$6,260,000 "
Kendall Fuller,CB,Commanders,,UFA,87.50%,29,"$10,000,000 ","$13,500,000 "
Duane Brown,LT,Jets,,UFA,10.10%,39,"$10,000,000 ","$9,000,000 "
Micah Hyde,S,Bills,,UFA,74.30%,34,"$9,625,000 ","$9,600,000 "
