Team,Opponent
BUF,MIA
BUF,NE
BUF,NYJ
BUF,ARI
BUF,JAX
BUF,SF
BUF,TEN
BUF,KC
BUF,MIA
BUF,NE
BUF,NYJ
BUF,HOU
BUF,IND
BUF,LA
BUF,SEA
BUF,BAL
BUF,DET
MIA,BUF
MIA,NE
MIA,NYJ
MIA,ARI
MIA,JAX
MIA,SF
MIA,TEN
MIA,LV
MIA,BUF
MIA,NE
MIA,NYJ
MIA,HOU
MIA,IND
MIA,LA
MIA,SEA
MIA,CLE
MIA,GB
NYJ,BUF
NYJ,MIA
NYJ,NE
NYJ,HOU
NYJ,IND
NYJ,LA
NYJ,SEA
NYJ,DEN
NYJ,BUF
NYJ,MIA
NYJ,NE
NYJ,ARI
NYJ,JAX
NYJ,SF
NYJ,TEN
NYJ,PIT
NYJ,MIN
NE,BUF
NE,MIA
NE,NYJ
NE,HOU
NE,IND
NE,LA
NE,SEA
NE,LAC
NE,BUF
NE,MIA
NE,NYJ
NE,ARI
NE,JAX
NE,SF
NE,TEN
NE,CIN
NE,CHI
BAL,CIN
BAL,CLE
BAL,PIT
BAL,DEN
BAL,LV
BAL,PHI
BAL,WAS
BAL,BUF
BAL,CIN
BAL,CLE
BAL,PIT
BAL,DAL
BAL,KC
BAL,LAC
BAL,NYG
BAL,HOU
BAL,TB
CLE,BAL
CLE,CIN
CLE,PIT
CLE,DAL
CLE,KC
CLE,LAC
CLE,NYG
CLE,MIA
CLE,BAL
CLE,CIN
CLE,PIT
CLE,DEN
CLE,LV
CLE,PHI
CLE,WAS
CLE,JAX
CLE,NO
PIT,BAL
PIT,CIN
PIT,CLE
PIT,DAL
PIT,KC
PIT,LAC
PIT,NYG
PIT,NYJ
PIT,BAL
PIT,CIN
PIT,CLE
PIT,DEN
PIT,LV
PIT,PHI
PIT,WAS
PIT,IND
PIT,ATL
CIN,BAL
CIN,CLE
CIN,PIT
CIN,DEN
CIN,LV
CIN,PHI
CIN,WAS
CIN,NE
CIN,BAL
CIN,CLE
CIN,PIT
CIN,DAL
CIN,KC
CIN,LAC
CIN,NYG
CIN,TEN
CIN,CAR
HOU,IND
HOU,JAX
HOU,TEN
HOU,BUF
HOU,CHI
HOU,DET
HOU,MIA
HOU,BAL
HOU,IND
HOU,JAX
HOU,TEN
HOU,GB
HOU,MIN
HOU,NE
HOU,NYJ
HOU,KC
HOU,DAL
JAX,HOU
JAX,IND
JAX,TEN
JAX,GB
JAX,MIN
JAX,NE
JAX,NYJ
JAX,CLE
JAX,HOU
JAX,IND
JAX,TEN
JAX,BUF
JAX,CHI
JAX,DET
JAX,MIA
JAX,LV
JAX,PHI
IND,HOU
IND,JAX
IND,TEN
IND,BUF
IND,CHI
IND,DET
IND,MIA
IND,PIT
IND,HOU
IND,JAX
IND,TEN
IND,GB
IND,MIN
IND,NE
IND,NYJ
IND,DEN
IND,NYG
TEN,HOU
TEN,IND
TEN,JAX
TEN,GB
TEN,MIN
TEN,NE
TEN,NYJ
TEN,CIN
TEN,HOU
TEN,IND
TEN,JAX
TEN,BUF
TEN,CHI
TEN,DET
TEN,MIA
TEN,LAC
TEN,WAS
KC,DEN
KC,LV
KC,LAC
KC,BAL
KC,CIN
KC,NO
KC,TB
KC,HOU
KC,DEN
KC,LV
KC,LAC
KC,ATL
KC,CAR
KC,CLE
KC,PIT
KC,BUF
KC,SF
LV,DEN
LV,KC
LV,LAC
LV,ATL
LV,CAR
LV,CLE
LV,PIT
LV,JAX
LV,DEN
LV,KC
LV,LAC
LV,BAL
LV,CIN
LV,NO
LV,TB
LV,MIA
LV,LA
DEN,KC
DEN,LV
DEN,LAC
DEN,ATL
DEN,CAR
DEN,CLE
DEN,PIT
DEN,IND
DEN,KC
DEN,LV
DEN,LAC
DEN,BAL
DEN,CIN
DEN,NO
DEN,TB
DEN,NYJ
DEN,SEA
LAC,DEN
LAC,KC
LAC,LV
LAC,BAL
LAC,CIN
LAC,NO
LAC,TB
LAC,TEN
LAC,DEN
LAC,KC
LAC,LV
LAC,ATL
LAC,CAR
LAC,CLE
LAC,PIT
LAC,NE
LAC,ARI
DAL,NYG
DAL,PHI
DAL,WAS
DAL,BAL
DAL,CIN
DAL,NO
DAL,TB
DAL,DET
DAL,HOU
DAL,NYG
DAL,PHI
DAL,WAS
DAL,ATL
DAL,CAR
DAL,CLE
DAL,PIT
DAL,SF
PHI,DAL
PHI,NYG
PHI,WAS
PHI,ATL
PHI,CAR
PHI,CLE
PHI,PIT
PHI,GB
PHI,JAX
PHI,DAL
PHI,NYG
PHI,WAS
PHI,BAL
PHI,CIN
PHI,NO
PHI,TB
PHI,LA
NYG,DAL
NYG,PHI
NYG,WAS
NYG,BAL
NYG,CIN
NYG,NO
NYG,TB
NYG,MIN
NYG,IND
NYG,DAL
NYG,PHI
NYG,WAS
NYG,ATL
NYG,CAR
NYG,CLE
NYG,PIT
NYG,SEA
WAS,DAL
WAS,NYG
WAS,PHI
WAS,ATL
WAS,CAR
WAS,CLE
WAS,PIT
WAS,CHI
WAS,TEN
WAS,DAL
WAS,NYG
WAS,PHI
WAS,BAL
WAS,CIN
WAS,NO
WAS,TB
WAS,ARI
DET,CHI
DET,GB
DET,MIN
DET,JAX
DET,LA
DET,SEA
DET,TEN
DET,TB
DET,BUF
DET,CHI
DET,GB
DET,MIN
DET,ARI
DET,HOU
DET,IND
DET,SF
DET,DAL
GB,CHI
GB,DET
GB,MIN
GB,ARI
GB,HOU
GB,IND
GB,SF
GB,NO
GB,MIA
GB,CHI
GB,DET
GB,MIN
GB,JAX
GB,LA
GB,SEA
GB,TEN
GB,PHI
MIN,CHI
MIN,DET
MIN,GB
MIN,ARI
MIN,HOU
MIN,IND
MIN,SF
MIN,ATL
MIN,NYJ
MIN,CHI
MIN,DET
MIN,GB
MIN,JAX
MIN,LA
MIN,SEA
MIN,TEN
MIN,NYG
CHI,DET
CHI,GB
CHI,MIN
CHI,JAX
CHI,LA
CHI,SEA
CHI,TEN
CHI,CAR
CHI,NE
CHI,DET
CHI,GB
CHI,MIN
CHI,ARI
CHI,HOU
CHI,IND
CHI,SF
CHI,WAS
TB,ATL
TB,CAR
TB,NO
TB,DEN
TB,LV
TB,PHI
TB,WAS
TB,SF
TB,BAL
TB,ATL
TB,CAR
TB,NO
TB,DAL
TB,KC
TB,LAC
TB,NYG
TB,DET
NO,ATL
NO,CAR
NO,TB
NO,DEN
NO,LV
NO,PHI
NO,WAS
NO,LA
NO,CLE
NO,ATL
NO,CAR
NO,TB
NO,DAL
NO,KC
NO,LAC
NO,NYG
NO,GB
ATL,CAR
ATL,NO
ATL,TB
ATL,DAL
ATL,KC
ATL,LAC
ATL,NYG
ATL,SEA
ATL,PIT
ATL,CAR
ATL,NO
ATL,TB
ATL,DEN
ATL,LV
ATL,PHI
ATL,WAS
ATL,MIN
CAR,ATL
CAR,NO
CAR,TB
CAR,DAL
CAR,KC
CAR,LAC
CAR,NYG
CAR,ARI
CAR,CIN
CAR,ATL
CAR,NO
CAR,TB
CAR,DEN
CAR,LV
CAR,PHI
CAR,WAS
CAR,CHI
SF,ARI
SF,LA
SF,SEA
SF,CHI
SF,DET
SF,NE
SF,NYJ
SF,DAL
SF,KC
SF,ARI
SF,LA
SF,SEA
SF,BUF
SF,GB
SF,MIA
SF,MIN
SF,TB
LA,ARI
LA,SF
LA,SEA
LA,BUF
LA,GB
LA,MIA
LA,MIN
LA,PHI
LA,LV
LA,ARI
LA,SF
LA,SEA
LA,CHI
LA,DET
LA,NE
LA,NYJ
LA,NO
SEA,ARI
SEA,LA
SEA,SF
SEA,BUF
SEA,GB
SEA,MIA
SEA,MIN
SEA,NYG
SEA,DEN
SEA,ARI
SEA,LA
SEA,SF
SEA,CHI
SEA,DET
SEA,NE
SEA,NYJ
SEA,ATL
ARI,LA
ARI,SF
ARI,SEA
ARI,CHI
ARI,DET
ARI,NE
ARI,NYJ
ARI,WAS
ARI,LAC
ARI,LA
ARI,SF
ARI,SEA
ARI,BUF
ARI,GB
ARI,MIA
ARI,MIN
ARI,CAR
